"unique_id","indicator_id","name","measure","measure_info","geo_type_name","geo_join_id","geo_place_name","time_period","start_date","data_value","message"
"154448","645","Annual vehicle miles traveled (trucks)","Million miles","per square mile","CD","107","Upper West Side (CD7)","2005","2005-01-01T00:00:00.000","5.5",
"154472","645","Annual vehicle miles traveled (trucks)","Million miles","per square mile","CD","307","Sunset Park (CD7)","2005","2005-01-01T00:00:00.000","3.7",
"154519","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","CD","207","Kingsbridge Heights and Bedford (CD7)","2005","2005-01-01T00:00:00.000","68.9",
"131229","657","Asthma emergency department visits due to PM2.5","Estimated annual rate (age 18+)","per 100,000 adults","UHF42","204","East New York","2005-2007","2005-01-01T00:00:00.000","100.1",
"154524","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","CD","212","Williamsbridge and Baychester (CD12)","2005","2005-01-01T00:00:00.000","39.7",
"154512","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","CD","112","Washington Heights and Inwood (CD12)","2005","2005-01-01T00:00:00.000","87.0",
"154508","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","CD","108","Upper East Side (CD8)","2005","2005-01-01T00:00:00.000","128.1",
"154552","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","CD","410","South Ozone Park and Howard Beach (CD10)","2005","2005-01-01T00:00:00.000","52.4",
"151737","645","Annual vehicle miles traveled (trucks)","Million miles","per square mile","UHF42","301","Washington Heights","2005","2005-01-01T00:00:00.000","3.5",
"151671","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","UHF42","101","Kingsbridge - Riverdale","2005","2005-01-01T00:00:00.000","41.5",
"151689","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","UHF42","301","Washington Heights","2005","2005-01-01T00:00:00.000","84.5",
"154554","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","CD","412","Jamaica and Hollis (CD12)","2005","2005-01-01T00:00:00.000","38.9",
"151699","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","UHF42","401","Long Island City - Astoria","2005","2005-01-01T00:00:00.000","40.7",
"151747","645","Annual vehicle miles traveled (trucks)","Million miles","per square mile","UHF42","401","Long Island City - Astoria","2005","2005-01-01T00:00:00.000","2.9",
"151709","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","UHF42","501","Port Richmond","2005","2005-01-01T00:00:00.000","16.7",
"130725","646","Outdoor Air Toxics - Benzene","Annual average concentration","Âµg/m3","UHF42","503","Willowbrook","2005","2005-01-01T00:00:00.000","1.6",
"154522","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","CD","210","Throgs Neck and Co-op City (CD10)","2005","2005-01-01T00:00:00.000","38.5",
"154475","645","Annual vehicle miles traveled (trucks)","Million miles","per square mile","CD","310","Bay Ridge and Dyker Heights (CD10)","2005","2005-01-01T00:00:00.000","3.4",
"154510","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","CD","110","Central Harlem (CD10)","2005","2005-01-01T00:00:00.000","61.5",
"154536","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","CD","312","Borough Park (CD12)","2005","2005-01-01T00:00:00.000","55.2",
"154534","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","CD","310","Bay Ridge and Dyker Heights (CD10)","2005","2005-01-01T00:00:00.000","54.6",
"151628","643","Annual vehicle miles traveled","Million miles","per square mile","UHF42","106","High Bridge - Morrisania","2005","2005-01-01T00:00:00.000","79.6",
